"","titular"
"1","""Doble desafío sanitario"": El reto de vacunar simultáneamente contra el covid-19 y la influenza"
"2","Ejército detalla cambios a Parada Militar: acto será reemplazado por ceremonia en Escuela Militar a la que asistirá una “mínima” representación de “unidades”"
"3","""El Plebiscito va"": Figuras de oposición elaboran video en defensa de la fecha de la consulta"
"4","Cadem: 57% cree que aumento de contagios se debe a que no se respetan medidas sanitarias"
"5","Brasil bate nuevo récord de muertes en un día y se transforma en el tercer país con más decesos a causa del covid-19"
"6","""Batalla por las vacunas"" suma un nuevo capítulo: Hungría quiere la opción rusa, no reconocida por la UE"
"7","Alcaldesa de San Bernardo advierte sobre problemas de hacinamiento ante el Covid-19: “Lamentablemente esto nos pilló con muchos allegados”"
"8","Seremi confirma 40 contactos estrechos de la variante Delta: 30 en Biobío y 10 en Coquimbo"
"9","Los efectos del Covid-19 en el cerebro: Paciente habría padecido psicosis y delirios"
"10","Mañalich asegura que “la situación será alarmante” si se comprueba que el coronavirus deja una baja inmunidad en la población contagiada"
"11","Sin “picoteos”, no fumar y evitar la carta física: Las recomendaciones de las autoridades de cara a la apertura de restaurantes y cafés en 5 comunas de la RM"
"12","Alcalde Soria y traslado de extranjeros: ""La decisión fue acordada con Bolivia, pero no con Iquique"""
"13","Blumel ratifica extensión de estado de excepción por la pandemia: “Estamos enfrentando obviamente los momentos más complejos del coronavirus”"
"14","Otra forma de saber si tienes Covid-19: PCR a la pantalla de tu teléfono celular"
"15","Abrupta demanda de vacunas contra la influenza agota primeras partidas"
"16","Paris aborda cuestionamientos de Siches a Piñera por vacunación del personal de salud y llama a “no confundir a la opinión pública”"
"17","Cuarentenas prolongadas están acelerando la pérdida cognitiva en adultos mayores"
"18","Hombre de 63 años fallece por Covid-19 al interior de su casa en La Florida"
"19","Super de Pensiones emite oficio definitivo para retiro de fondos: Proceso comienza este jueves a las 09.00 horas"
"20","Rafael Caroca: “Preocupa esta incertidumbre”"
"21","Presidente francés Emmanuel Macron da positivo por coronavirus y se mantendrá en aislamiento durante siete días"
"22","Alemania roza los 300 mil casos de Covid-19 tras confirmar más de 2.200 contagios en las últimas horas"
"23","Contraloría toma razón y da luz verde a decreto que entrega recursos a sistema de trazabilidad covid"
"24","Superintendencia de Pensiones afirma que reforzará canales de atención para agilizar pagos del seguro de cesantía"
"25","Sebastián Yatra: ""La gente está pasando por un momento difícil y nuestra responsabilidad es acompañarlos"""
"26","ISP valida uso de emergencia de la vacuna Janssen de Johnson & Johnson: Es la quinta autorizada en Chile"
"27","El potente llamado de Nacho Gutiérrez a vacunarse contra el Covid-19"
"28","Catorce regiones contabilizan siete días o más sin registrar récord de pacientes Covid-19 en UCI: Magallanes es la única que ha alcanzado su peak en este inicio de mayo"
"29","Máquinas de cardio para espacios reducidos"
"30","Arquero de la Real Sociedad anuncia su negativo en test de PCR"
"31","Zúñiga y críticas del Colegio Médico: “No han reconocido de gran forma el trabajo que se ha realizado (...)  Aceptamos las críticas cuando tienen un fin constructivo”"
"32","La multimillonaria apuesta de EE.UU. por lograr una cura marca registrada"
"33","Coronavirus: Cifra de muertos aumenta a 1.113 y confirman 44.653 contagiados"
"34","Dos encuentros por reprogramar y un posible alargue del torneo: La difícil tarea de la ANFP de completar la temporada 2020, en pleno avance del Coronavirus"
"35","Cámara Baja de EE.UU. aprueba el nuevo plan de estímulo por US$480.000 millones para paliar efectos del covid-19"
"36","Minsal: sobre 3,7 millones de personas ya han recibido la vacuna contra el Covid-19 en Chile"
"37","Ministro Paris y medidas frente al coronavirus: ""Si la gente no entiende por la razón, obviamente habrá que aplicar más fuerza”"
"38","“El derecho a decir adiós”: donan tablets para que pacientes se despidan de sus seres queridos en Italia"
"39","En la búsqueda de los Covid-19"
"40","Jaime Valdés propuso jugar en dos semanas y dejó la grande"
"41","Hope Hicks, la “paciente cero” del virus en la Casa Blanca"
"42","Subsecretarios Zúñiga y Daza permanecerán en sus cargos en el Minsal tras la salida de Mañalich"
"43","La respuesta de Bolsonaro tras brusca alza de muertes por covid-19 en Brasil: ""Soy el Mesías, pero no hago milagros"""
"44","""Una señal de confianza a la robustez y solidez macroeconómica de nuestro país”: Briones destaca línea crédito flexible del FMI al Banco Central"
"45","Mapas: Las comunas que continúan en cuarentena en la RM y las que se suman a partir del jueves 23"
"46","""Nube de gas turbulento"": El fenómeno que ""atrapa"" las gotas de saliva y podría extender la vida del virus en el aire"
"47","Ministro Delgado informa llegada de 1 millón de vacunas Sinovac este sábado y nuevo arribo de Pfizer: “Tenemos la obligación de asegurar las segundas dosis”"
"48","Red de Laboratorios universitarios duplicarán capacidad nacional para secuenciar coronavirus"
"49","Tokio supera por primera vez los mil casos diarios de coronavirus"
"50","

                
                
                Paso a Paso: Quilicura, Recoleta y Buin avanzan a Transición desde el próximo lunes
"
"51","¿Y ahora, qué? El suspenso que se le fue encima a la lucha Trump v/s Biden con el Covid presidencial"
"52","La Reserva Federal sorprende al mundo y aplica “recorte de emergencia” de la tasa de interés para enfrentar el coronavirus"
"53","Sochimi explica las razones de la alta mortandad en las urgencias: ""Ahí es donde lo vamos a pasar más mal"""
"54","Universidad estadounidense ofrece dinero a sus estudiantes a cambio de que no viajen durante el ""spring break"""
"55","Carabineros detalla que última jornada de toque de queda y cuarentena fue infringida por 1.004 personas"
"56","Un salvavidas con riesgo: los clubes reciben por primera vez con IVA incluido la cuota del CDF"
"57","Político japonés subastó por internet mascarillas quirúrgicas en medio de crisis por coronavirus"
"58","Residencias sanitarias no registradas y compras de test a empresa cosmética: Transparencia acusa falta de claridad en compras por Covid"
"59","Banderines, PVC y hasta un rodillo gigante: las playas se preparan"
"60","La preocupación de Argentina ante el aumento de casos de covid-19 y el inicio de las vacaciones"
"61","Greta Thunberg aislada: sospecha que tiene coronavirus"
"62","Cifra diaria de casos de Covid-19 en la Región Metropolitana es la menor en más de seis meses"
"63","A un año del brote en Europa: Las cifras de los primeros siete países que reportaron contagios de covid-19 en el continente"
"64","""Estamos comenzando una semana muy compleja"": Paris pide fortalecer las medidas de autocuidado"
"65","Activan plan de emergencia en hospitales en Francia tras aumento de contagios"
"66","

                
                
                Falla en la estrategia TTA: 37,5% de los centros de atención primaria no está realizando la trazabilidad a los casos sospechosos de Covid-19
"
"67","Enrique Paris y futuras cifras de decesos por Covid: “Vamos a agregar a los fallecidos probables”"
"68","Anuncian «resultados positivos» en vacuna candidata contra el Covid-19"
"69","Fotógrafos y exploradores submarinos eligen su mejor foto"
"70","La Araucanía y Magallanes: Las cifras de las regiones donde alcaldes apuestan por unirse al desconfinamiento gradual"
"71","Suspenden en Brasil la vacunación de embarazadas con dosis de AstraZeneca"
"72","Productoras informan que se suspenden funciones de autocine por el COVID-19"
"73","[VIDEO] “La mejor cuarentena de esta dimensión”: Kramer imita a Mañalich y sus anuncios por el Coronavirus"
"74","Ministro de Educación afirma que clases podrían extenderse hasta el 15 de enero"
"75","

                
                
                Confusam acusa hay ""sobreexplotación del trabajo diario"" de los funcionarios de salud
"
"76","

                
                
                Coronavirus: ¿cuán cerca estamos de una ""vacuna universal"" contra la gripe y otras enfermedades respiratorias?
"
"77","

                
                
                Otro alto personero chavista contagiado: ministro de Petróleo Tareck el Aissami da positivo en test de COVID-19
"
"78","Gobierno ingresará proyecto para facilitar acceso al Ingreso Familiar de Emergencia 2.0"
"79","En medio del momento más duro, Brasil anuncia elaboración de vacuna propia contra el covid-19"
"80","Merkel advierte que Alemania enfrenta un “nuevo virus más letal e infeccioso” y anuncia medidas más estrictas de confinamiento para Semana Santa"
"81","En un lado, sí; en otro, no: La disparidad de protocolos Covid que indigna a Chile por Mauricio Isla"
"82","En camino a la vacuna: Científicos chinos logran proteger a grupo de macacos del coronavirus"
"83","

                
                
                Coronavirus: Saint George's se convierte en el primer colegio chileno en cuarentena
"
"84","Diarios de UCI: Los esfuerzos por humanizar la atención de pacientes con Covid-19"
"85","VIDEO. Las frenéticas jornadas de los sepultureros brasileños"
"86","“Alexis no jugó con positivo”: la comisión médica no encuentra aún trampa en el caso La Calera"
"87","Hacienda debió explicar recortes en inversiones"
"88","Ministro Paris por posible “dilema de la última cama” ante alta ocupación en UCI:  “Nunca vamos a llegar a ese punto”"
"89","Cuarta muerte por Covid-19: Hombre de 80 años falleció ""a pesar de haber hecho todos los esfuerzos"""
"90","Diputados piden que trabajadores de la salud tengan subsidio para contratar quien cuide a sus hijos durante cuarentena"
"91","Investigación independiente concluye que la OMS carece de poder para combatir las pandemias"
"92","Oposición dice que ""no basta un cambio de rostro"" en el Minsal y llama al ministro Paris a modificar la estrategia contra el covid"
"93","Cámara suspende sesión tras caso positivo por Covid-19 de hija de un funcionario"
"94","Cabify implementa en Chile cabinas de aislamiento para evitar contagios por coronavirus"
"95","Intendente Guevara por viaje de empresarios en helicópteros: ""Las explicaciones tendrán que darlas a los tribunales"""
"96","Mesa Social alista protocolo para la “última cama”"
"97","Minsal declara que ""lo ideal"" es respetar grupos prioritarios para la vacuna, pero se abre a flexibilizar las dosis"
"98","Segundo retiro del 10%: Comisión fija opción de reintegro voluntario e impuestos para renta sobre $2,5 millones"
"99","Aseguran que vacuna rusa anticoronavirus tiene una eficacia del 92 por ciento"
"100","Coronavirus en Chile y la casa como oficina: Difícil pero no imposible"
"101","De las ""muertes en exceso"" a los ""incentivos"": El historial de enfrentamientos entre Espacio Público y el Minsal"
"102","Lollapalooza Chile 2020 confirma su suspensión y anuncia que se podría reprogramar para el segundo semestre"
"103","Advierten que casos de dermatitis por contacto se han duplicado en Chile por el lavado frecuente de manos"
"104","Vacunación y tercera dosis: Cuántas faltan por llegar y los preacuerdos vigentes para abordar este posible escenario"
"105","Experto en enfermedades infecciosas del gobierno de EE.UU: “Ahora mismo, no necesitamos administrarle a la gente una tercera dosis de la vacuna”"
"106","India supera los 2,9 millones de contagios y contabiliza 692 mil casos activos"
"107","Nuevos hábitos en pandemia: Puertas afuera también cambiamos"
"108","San Antonio a cuarentena: El paso a paso de la comuna puerto para volver al confinamiento"
"109","

                
                
                Más de 900 trabajadores de salud han muerto por COVID-19 en Estados Unidos
"
"110","Tres emprendedores chilenos desarrollan innovador dispositivo que utiliza ozono acuoso para desinfectar superficies y espacios cerrados"
"111","""Mapa de movilidad"": El trabajo que desarrolla el Minsal para conocer zonas donde se deberían endurecer medidas"
"112","ByN planea importante recorte en Colo Colo: reducir sueldos en un 50%"
"113","Caótico inicio de vacunación contra el virus de la influenza"
"114","Efecto de clases a distancia: Aumentan los mayores de 30 años que optan por la educación superior y caen los menores de 25"
"115","Ente regulador sanitario europeo afirma estar ""convencido"" de los beneficios de la vacuna de AstraZeneca"
"116","Obispado de Valparaíso suspende la peregrinación al santuario de Lo Vásquez debido a la pandemia"
"117","El choque del secretario del Tesoro de EEUU con Axl Rose en Twitter se vuelve viral"
"118","Candidato a alcalde por Zapallar es detenido por infringir la norma sanitaria"
"119","Empresa que fabricó máscaras y trajes usados en ""Chernobyl"" los donará a hospitales y residencias de adultos mayores"
"120","""Un llamado de atención"" y ""complejo cambio de gobernanza"": Expertos analizan plan del Colmed para manejar la pandemia"
"121","

                
                
                Advierten que fumadores tienen hasta 14 veces más riesgo de progresión de la enfermedad por Covid-19
"
"122","""La subsecretaria tiene una debilidad enorme por el café"": Mañalich defiende ejemplo de Daza sobre ""nueva normalidad"""
"123","Khaled Fahmy y el escenario post covid-19: ""La forma en que los gobiernos vigilarán los gestos de cada uno es alarmante"""
"124","Donald Trump celebra recorte de tasas de la Fed, pero no queda conforme"
"125","Los peores ejemplos de merchandising del Coronavirus"
"126","Fiscalización a clases online: Superindentencia de Ed. Superior revisa medidas informadas por 45 planteles"
"127","Uñas Covid: como unos cambios en las uñas te pueden indicar si alguna vez tuviste coronavirus"
"128","Cómo Dinamarca llegó a ""controlar"" el coronavirus: Reporta menos de dos mil casos activos"
"129","Los inversionistas se fijan en las farmacéuticas chinas en medio del brote de neumonía"
"130","Rápido y Furioso 9 fue retrasada un año por el coronavirus"
"131","Chilevisión suspende sus programas como medida preventiva de coronavirus"
"132","Tom Moore, el británico de 100 años que reunió dinero para el sistema de salud de su país, será nombrado ""caballero"""
"133","Desbordes (RN) por petición de autoridades de cuarentena para Valparaíso: ""Ojalá se decrete, creo que es importante hacerlo”"
"134","Matrimonios en cuarentena"
"135","HBO pospuso el rodaje de Barry y Succession debido al coronavirus"
"136","Cesar Cielo: “Yo tenía que ganar todo el tiempo, era una tarea diaria”"
"137","El otro lado de la crisis: Fórmula Uno registra impactantes caídas financieras por la suspensión de las carreras"
"138","«Lo difícil es infectar al primer ser humano; la globalización hace el resto»: un científico se mete en la piel del SARS-CoV-2"
"139","Un estudio revela nuevos detalles sobre complicaciones de COVID-19 en niños"
"140","Prolongan cuarentena en seis comunas de la Región Metropolitana durante el fin de semana y el lunes la medida se levantará parcialmente"
"141","Paris defiende desconfinamiento en Aysén y Los Ríos: Dice que es voluntario y rechaza uso del concepto ""conejillos de indias"""
"142","Carabineros detuvo a 87 personas en motel de La Florida por infringir normas sanitarias"
"143","Atacan ambulancia que llevaba muestras de COVID-19: rayaron «no + virus»"
"144","La lucha contra el covid-19 en Magallanes avanza con más especialistas, oxigenoterapia y aeroevacuaciones diarias"
"145","Aerolíneas bajan operación al mínimo y piden reducir cobros en el aeropuerto"
"146","Alan Meyer, Mercado Libre: “La gente se está alejando de los bienes de lujo. Hoy crecen categorías como salud y equipamiento”"
"147","EE.UU. está en alerta máxima por la pandemia mientras que Europa busca extremar medidas"
"148","Popular cuenta de memes de Instagram fue baneada por compartir estafas relacionadas con el coronavirus"
"149","Fabricante de vodka advierte que el destilado es ""inútil"" para protegerse del coronavirus tras consejos de consumidores"
"150","Nuevos contagios de coronavirus se cifran en 6.053 y positividad llega al 13,81%, el nivel más alto en más de ocho meses"
"151","Bolsas mundiales intentan recuperarse pero sigue temor por el coronavirus"
"152","Vacunas a 70°C bajo cero: la compleja misión de conservar la inyección contra el coronavirus de Pfizer, la que solo beneficiaría a los países ricos"
"153","Argentina suma 11.807 nuevos contagios de covid-19 y alcanza los 723.132 casos"
"154","Paris y diferencias con el Consejo Covid-19 por desconfinamiento: “Hemos seguido punto por punto el tema de la trazabilidad en las regiones dónde hemos avanzado”"
"155","EE.UU. enviará a otros países 60 millones de sus dosis anticovid de AstraZeneca"
"156","Covid-19 termina con los 56 años de historia de Johnson’s en el retail nacional"
"157","Noche de fiestas clandestinas en la RM: Un total de 87 detenidos por eventos ilegales en Las Condes, Lo Barnechea y Santiago"
"158","Renca con peor tasa de incidencia, San Pedro con mayor porcentaje de vacunados con primera dosis: Zoom a la RM"
"159","Cuba no registra casos nuevos de Covid-19 por primera vez desde que se detectó el primer contagio"
"160","Minsal informa que solo un 65% de las personas entre 48 y 49 años se han vacunado"
"161","Menor fue vacunada por error contra el covid-19 en Recoleta: Daza dice que se está investigando"
"162","“Se me ha hecho un daño invaluable”: los descargos del imputado por viajar a Temuco pese a ser sospechoso de coronavirus"
"163","Y si encontramos la vacuna, ¿qué sigue?"
"164","Mañalich anuncia 550 nuevos ventiladores mecánicos y capacidad llegaría a 4.859 a fines de junio"
"165","Las neurocientíficas que decidieron educar a la población a través de las redes sociales en plena pandemia"
"166","Las lesiones que proceden del Zoom"
"167","Ministro Paris dice que “no tenemos solicitud” para primer concierto en pandemia pero que “lo analizaremos”"
"168","Laurie Garrett: “Lo peor de esta pandemia ocurrirá en julio en el hemisferio sur”"
"169","

                
                
                Coronavirus: por qué secarse las manos es tan importante como lavárselas para evitar la propagación del covid-19
"
"170","Subsecretaria de la Niñez: “El 54% de los infractores del toque de queda son jóvenes”"
"171","No va más: la Enade 2020 finalmente se cancela debido al coronavirus"
"172","Donald Trump Jr., el hijo mayor del Presidente de EE.UU. da positivo a covid-19"
"173","India reporta 96.000 contagios en las últimas 24 horas y ordena repetir pruebas"
"174","Desde un histórico relator de los juegos FIFA hasta el querido japonés Ken Shimura: La larga lista de conocidos personajes que se han contagiado de coronavirus (VI)"
"175","Manual contra los “quebranta cuarentena”: la circular que define qué hacer con quienes rompen el confinamiento"
"176","Decreto Fogape dispone que el 25% del fondo debe ser para empresas de menor tamaño"
"177","Argentina suma 15.455 casos nuevos y 485 muertes por covid-19: Decesos llegaron a 22.710"
"178","Israel suspende el uso obligatorio de mascarilla al aire libre"
"179","EE.UU. se suma a programa COVAX para distribuir vacunas anticovid en el mundo"
"180","Antofagasta Minerals anuncia disminución de ingreso de trabajadores a sus faenas para evitar contagios por coronavirus"
"181","Llega a Chile segundo Hospital Modular: sumará 100 nuevas camas a la Red Integrada de Salud"
"182","Nuevos contagios reordenan a Chile en el panorama mundial frente a la pandemia"
"183","Ecuador cierra las fronteras terrestres y marítimas y suspende los vuelos internacionales por el coronavirus"
"184","

                
                
                Pérdida del olfato y su relación con SARS-CoV-2
"
"185","Concepción sigue como la comuna con más casos activos: RM y el Biobío las regiones que más tienen entre las 10 primeas"
"186","Los nuevos criterios para declarar a “no infectantes” y el carnet de alta: La prueba de blancura que divide a expertos"
"187","Cómo serán los viajes tras el coronavirus"
"188","

                
                
                Minsal comenzó estudio clínico para evaluar vacunación de tercera dosis contra el Covid-19
"
"189","Colegio hizo la prueba de adaptar sus salas a la pandemia, pero no resultó: Dice que “el regreso a clases es utópico”"
"190","Metlife anuncia que sus seguros complementarios y catastróficos cubrirán coronavirus por al menos cuatro meses"
"191","Paula Labra asume como nueva seremi de Salud de la Región Metropolitana"
"192","VIDEO. Los “zapatos antivirus” talla 75 que hacen cumplir la distancia social"
"193","Cuídese y tire toda la pinta con su mascarilla personalizada"
"194","

                
                
                Toxicóloga llama a desestimar falsas publicaciones sobre beneficios de drogas ilícitas contra el Covid-19
"
"195","Merkel apela a la solidaridad porque hasta el 70% de los alemanes podría contagiarse de coronavirus"
"196","Conteo diario del DEIS revela que muertes vinculadas al Covid-19 durante junio alcanzan el 51,37% del total de fallecidos a lo largo de la pandemia"
"197","Seis están en Fase 4 y cinco en cuarentena: El escenario de las 32 comunas que alcanzaron el 75% de vacunación"
"198","Presidente Piñera se reúne con agrupaciones de apoderados, que expresan matices sobre regreso a clases presenciales"
"199","Lassa, Ébola, Nipha, Hanta: estos son los virus que pueden convertirse en la próxima pandemia según la ciencia"
"200","Desde las 22.00 horas: Gobierno adelanta horario de toque de queda para todo el país a partir del sábado 26 de diciembre"
"201","Necesidades urgentes de los pacientes con secuelas respiratorias"
"202","

                
                
                Covid-19: Vacunas entran a fase crucial de ensayos que tomarán hasta 6 meses
"
"203","Brasil supera los 15 millones de casos de coronavirus y muertes alcanzan las 416.949"
"204","Ante el coronavirus, los creadores de Plague Inc. recuerdan a sus usuarios que es sólo un juego"
"205","Para vivir la emoción tuerca en cuarentena: Conoce estos videojuegos de autos que debes probar"
"206","

                
                
                Los protocolos éticos del Covid-19 y la discriminación hacia las personas con discapacidad
"
"207","Récord en entrega de permisos en últimas 24 horas: Más de 1.400.000 y mayoría para compras"
"208","Continúa la vacunación contra el Covid-19: Hoy será el turno de personas entre 54 y 55 años"
"209","Cementerios estarán cerrados durante fin de semana del Día de Padre en todo el país"
"210","En medio de cuestionamientos, entrega de permisos de vacaciones se mantiene al alza: ya van 1.223.156"
"211","Johnson y Macron se reúnen por primera vez desde el inicio de la pandemia en Reino Unido"
"212","Ministro Paris y eventual autodenuncia por paseo del Presidente Piñera sin mascarilla: ""Sería una buena señal"""
"213","Querellante en caso de fallecidos por Covid-19: “Buscamos que los querellados justifiquen sus decisiones”"
"214","Mañalich y coronavirus: “El destino de esto es que toda la población mundial se infecte, no hay ninguna manera de evitarlo a menos que exista una vacuna”"
"215","

                
                
                Mujer de 21 años es la persona más joven fallecida por Covid-19 en Chile
"
"216","Israel descarta ""variante chilena"" y reconoce ""lamentable error"" al usar ese concepto en linaje detectado en ese país"
"217","Casos activos totales de Covid-19 en la Región Metropolitana se triplican en los últimos 30 días"
"218","Científicos chilenos en la Antártica: las estrictas medidas para evitar que el coronavirus invada el único punto del planeta donde no ha llegado"
"219","¿Por cuántos meses persisten los anticuerpos del Covid-19 después de contagiarse?"
"220","

                
                
                Balance diario del Minsal: Las Condes, Vitacura y Santiago retroceden a Preparación y se registran 1.507 casos nuevos de COVID-19
"
"221","Minvu publicará protocolo para plazas y parques: Exigirá 50% del aforo y 5 metros de distancia entre grupos de personas"
"222","Presidente anuncia proyecto para endurecer penas contra quienes incumplan restricciones: Incluirá servicios comunitarios"
"223","Melbourne vuelve a confinarse y Sidney registra récord de casos de covid-19"
"224","Los primeros de la RM en reabrir: Con la asistencia de 20 alumnos parten clases en colegios de Pirque"
"225","Salud anuncia que se publicará decreto que permite suspender cirugías electivas: Se aplicará en 11 regiones"
"226","Nuevas víctimas del coronavirus son de Ñuble, La Araucanía y Los Lagos: Todos tenían sobre los 60 años"
"227","Mañalich por aglomeraciones en paraderos: Es evidente que la situación abre una inquietud"
"228","Disney venderá mascarillas reutilizables de Marvel y Star Wars para ayudar por el coronavirus"
"229","Regiones de O’Higgins y Del Maule superan los cinco mil casos acumulados de Covid-19, y porcentaje de ventiladores disponibles vuelve a los dos dígitos"
"230","Galería: Así se ve Italia en su primer día de cuarentena nacional debido al coronavirus"
"231","Las fechas que se barajan para los Juegos de Tokio"
"232","Chilenos en cuarentena: La experiencia en Tortel y de otras personas aisladas en sus casas tras el auge del Covid-19"
"233","

                
                
                Calendario de vacunación: personas entre 34 y 30 años recibirán primera dosis la próxima semana
"
"234","Coronavirus: Banco Central Europeo anuncia medidas para contener efectos económicos sin recortar tasas de interés"
"235","Mnuchin y enemigo de Musk apoyan intento de reapertura de Tesla"
"236","

                
                
                Gobierno se abre a mesa técnica que resuelva voto de pacientes COVID y otros casos en elecciones del 2021
"
"237","Vicepresidente de EE.UU. es el primer miembro de la Casa Blanca en vacunarse contra el Covid-19"
"238","

                
                
                Bolsonaro da positivo por coronavirus por tercera vez
"
"239","Hay todo un historial de problemas con Zoom que convocan a ser cuidadosos"
"240","Jeffrey Sachs: “Necesitamos elevar nuestro comportamiento ético y el compromiso con el bien común”"
"241","Estudio advierte: Efectos del coronavirus amenazan con sumir en la pobreza a más de 500 millones de personas"
"242","Perú evalúa endurecer restricciones para frenar rebrote de coronavirus"
"243","La pandemia deja más de 600.000 casos en el mundo durante el último día y roza el umbral de los 129 millones de contagios"
"244","Explosión de nuevos casos llevó positividad de los tests a un peak de 18%"
"245","¿El estilo Paris?: Ministro plantea idea de que balance del coronavirus sea más técnico y cada tres días"
"246","La Fórmula 1 cancela las pruebas de Azerbaiyán, Singapur y Japón"
"247","Sin público, sin saludos y algunos con mascarilla... Conoce las estrictas medidas con las que vuelve la Bundesliga"
"248","Fallece cónsul de Chile en Rosario diagnosticado con coronavirus"
"249","

                
                
                Presionado por las condiciones de RN y la UDI, Gobierno enfrenta hoy la votación de la prórroga del estado de excepción en la Cámara
"
